# Aspell Character Data File.  Do Not Edit!
# <char> <uni> <type> <upper> <lower> <title> <plain>
BC 041C L BC DC BC BC
BD 041D L BD DD BD BD
BE 041E V BE DE BE BE
BF 041F L BF DF BF BF
C0 0420 L C0 E0 C0 C0
C1 0421 L C1 E1 C1 C1
C2 0422 L C2 E2 C2 C2
C3 0423 V C3 E3 C3 C3
C4 0424 L C4 E4 C4 C4
C5 0425 L C5 E5 C5 C5
C6 0426 L C6 E6 C6 C6
C7 0427 L C7 E7 C7 C7
C8 0428 L C8 E8 C8 C8
C9 0429 L C9 E9 C9 C9
CA 042A L CA EA CA CA
CB 042B L CB EB CB CB
CC 042C L CC EC CC CC
CD 042D L CD ED CD CD
CE 042E L CE EE CE CE
CF 042F L CF EF CF CF
D0 0430 V B0 D0 B0 D0
D1 0431 L B1 D1 B1 D1
D2 0432 L B2 D2 B2 D2
D3 0433 L B3 D3 B3 D3
D4 0434 L B4 D4 B4 D4
D5 0435 V B5 D5 B5 D5
D6 0436 L B6 D6 B6 D6
D7 0437 L B7 D7 B7 D7
D8 0438 V B8 D8 B8 D8
D9 0439 V B9 D9 B9 D8
DA 043A L BA DA BA DA
DB 043B L BB DB BB DB
DC 043C L BC DC BC DC
DD 043D L BD DD BD DD
DE 043E V BE DE BE DE
DF 043F L BF DF BF DF
E0 0440 L C0 E0 C0 E0
E1 0441 L C1 E1 C1 E1
E2 0442 L C2 E2 C2 E2
E3 0443 V C3 E3 C3 E3
E4 0444 L C4 E4 C4 E4
E5 0445 L C5 E5 C5 E5
E6 0446 L C6 E6 C6 E6
E7 0447 L C7 E7 C7 E7
E8 0448 L C8 E8 C8 E8
E9 0449 L C9 E9 C9 E9
EA 044A L CA EA CA EA
EB 044B L CB EB CB EB
EC 044C L CC EC CC EC
ED 044D L CD ED CD ED
EE 044E L CE EE CE EE
EF 044F L CF EF CF EF
F0 2116 - F0 F0 F0 F0
F1 0451 V A1 F1 A1 D5
F2 0452 L A2 F2 A2 F2
F3 0453 L A3 F3 A3 D3
F4 0454 L A4 F4 A4 F4
F5 0455 L A5 F5 A5 F5
F6 0456 L A6 F6 A6 F6
F7 0457 L A7 F7 A7 F6
F8 0458 L A8 F8 A8 F8
F9 0459 L A9 F9 A9 F9
FA 045A L AA FA AA FA
FB 045B L AB FB AB FB
FC 045C L AC FC AC DA
FD 00A7 - FD FD FD FD
FE 045E V AE FE AE E3
FF 045F L AF FF AF FF
