# Aspell Character Data File.  Do Not Edit!
# <char> <uni> <type> <upper> <lower> <title> <plain>
B5 1ED9 V 93 B5 93 6F
B6 1EDD V 96 B6 96 6F
B7 1EDF V 97 B7 97 6F
B8 1ECB V 98 B8 98 69
B9 1EF0 V B9 F1 B9 55
BA 1EE8 V BA D1 BA 55
BB 1EEA V BB D7 BB 55
BC 1EEC V BC D8 BC 55
BD 01A1 V B4 BD B4 6F
BE 1EDB V 95 BE 95 6F
BF 01AF V BF DF BF 55
C0 00C0 V C0 E0 C0 41
C1 00C1 V C1 E1 C1 41
C2 00C2 V C2 E2 C2 41
C3 00C3 V C3 E3 C3 41
C4 1EA2 V C4 E4 C4 41
C5 0102 V C5 E5 C5 41
C6 1EB3 V 02 C6 02 61
C7 1EB5 V 05 C7 05 61
C8 00C8 V C8 E8 C8 45
C9 00C9 V C9 E9 C9 45
CA 00CA V CA EA CA 45
CB 1EBA V CB EB CB 45
CC 00CC V CC EC CC 49
CD 00CD V CD ED CD 49
CE 0128 V CE EE CE 49
CF 1EF3 V 9F CF 9F 79
D0 0110 L D0 F0 D0 D0
D1 1EE9 V BA D1 BA 75
D2 00D2 V D2 F2 D2 4F
D3 00D3 V D3 F3 D3 4F
D4 00D4 V D4 F4 D4 4F
D5 1EA1 V 80 D5 80 61
D6 1EF7 V 14 D6 14 79
D7 1EEB V BB D7 BB 75
D8 1EED V BC D8 BC 75
D9 00D9 V D9 F9 D9 55
DA 00DA V DA FA DA 55
DB 1EF9 V 19 DB 19 79
DC 1EF5 V 1E DC 1E 79
DD 00DD V DD FD DD 59
DE 1EE1 V B3 DE B3 6F
DF 01B0 V BF DF BF 75
E0 00E0 V C0 E0 C0 61
E1 00E1 V C1 E1 C1 61
E2 00E2 V C2 E2 C2 61
E3 00E3 V C3 E3 C3 61
E4 1EA3 V C4 E4 C4 61
E5 0103 V C5 E5 C5 61
E6 1EEF V FF E6 FF 75
E7 1EAB V 06 E7 06 61
E8 00E8 V C8 E8 C8 65
E9 00E9 V C9 E9 C9 65
EA 00EA V CA EA CA 65
EB 1EBB V CB EB CB 65
EC 00EC V CC EC CC 69
ED 00ED V CD ED CD 69
EE 0129 V CE EE CE 69
EF 1EC9 V 9B EF 9B 69
F0 0111 L D0 F0 D0 F0
F1 1EF1 V B9 F1 B9 75
F2 00F2 V D2 F2 D2 6F
F3 00F3 V D3 F3 D3 6F
F4 00F4 V D4 F4 D4 6F
F5 00F5 V A0 F5 A0 6F
F6 1ECF V 99 F6 99 6F
F7 1ECD V 9A F7 9A 6F
F8 1EE5 V 9E F8 9E 75
F9 00F9 V D9 F9 D9 75
FA 00FA V DA FA DA 75
FB 0169 V 9D FB 9D 75
FC 1EE7 V 9C FC 9C 75
FD 00FD V DD FD DD 79
FE 1EE3 V 94 FE 94 6F
FF 1EEE V FF E6 FF 55
